Summer Squash & Cucumber Salad                            
Albacore Tuna Crudo                            
Musk Melon Salad
Peaches Roasted In the Wood Oven
Crispy Chicken Livers & Cherry Tomatoes                            
Farrotto
Monterey Bay Squid
Marinara
Bianca
Eggplant
Butterball Potato
Anchovy
House Made Sausage
Vignale Di Cecilia, Prosecco, Italy, NV                            
Pascal Potaire, Chenin Blanc Blend, France, 2014                            
Podere Il Saliceto, Sorbara, Italy, NV                            
Della Staffa, Sangiovese, Italy, 2015                            
Camilo Donati, Malvasia, Italy, 2013
Laherte Freres, Champagne Brut, N/V                            
Fronton De Oro, Listan Negro Blend, Spain, 2015                            
Clos Saron, Syrah Blend, California, 2013                            
Courtalt-toadieux, Sauvignon Blanc, France, 2015                            
Domaine De L'ecu, Muscadet, France, 2014                            
Partida Creus, Garnatxa Bianco Blend, Spain, 2014                            
Methode Sauvage, Chenin Blanc, California, 2015                            
Stirm, Riesling, California, 2014                            
J Brix, Pinot Gris, California, 2015                            
Broc Cellars, Marsanne Blend, California, 2014
Mendall, Macabeu, Spain, 2011                            
Cantina Giardino, Greco, Italy, 2013                            
Clos Saron, Albarino & Verldelho, California, 2014                            
Arnot-roberts, Chardonnay, California, 2014                            
Le Cantine Di Indie, Nerello Mascalese, Italy, 2014                            
Julien Guillot, Gamay, France, 2014                            
Baccanti, Gragnano, Italy, 2014                            
N2 Wines, Barbera Blend, Italy, 2014
Julien Altaber, Pinot Noir, France, 2014                            
Andrea Scovero, Nebbiolo, Italy, 2013                            
Principiano, Barolo, Italy, 2011                            
Vini Rabasco, Montepulciano, Italy, 2015                            
Il Cancelliere, Aglianico, Italy, 2013                            
Lioco, Carignan, California, 2014                            
Matthiasson, Merlot & Cabernet Blend, California, 2011                            
Ryme, Aglianico, California, 2012                            
